Id,Identificador,Paquete,Cantidad,Identificación,Suministrador y ref
1,"R2,R1",R_0805_2012Metric,2,10K,
2,"C67,C61,C66,C65,C63,C60,C62,C64",C_0603_1608Metric,8,10nf16v,
3,"BLED23,BLED22,BLED54,BLED31,BLED24,BLED51,BLED53,BLED13,BLED14,BLED34,BLED33,BLED21,BLED32,BLED44,BLED42,BLED43,BLED12,BLED11,BLED52,BLED41",LED_WS2812-2020_2.2x2.0mm,20,WS2812B,
4,"C31,C18,C3,C20,C6,C10,C5,C30,C1,C11,C13,C16,C17,C15,C8,C12,C14,C19,C9,C7,C2,C4",C_0603_1608Metric,22,1uf,
5,"C39,C51,C55,C49,C34,C40,C37,C42,C43,C54,C36,C35,C50,C52,C56,C38,C41,C33,C45,C48,C53,C44,C46,C47",C_0603_1608Metric,24,47nf16v,
6,"U2,U1",QFN-28-1EP_6x6mm_P0.65mm_EP4.25x4.25mm_ThermalVias,2,MCP23017_ML,
7,"BSW11,BSW43,BSW12,BSW23,BSW44,BSW52,BSW42,BSW31,BSW54,BSW22,BSW14,BSW34,BSW41,BSW51,BSW21,BSW32,BSW24,BSW13,BSW33,BSW53",V5-KeyPad_LED,20,SW_Push,
9,"RESW1,RESW2,RESW4,RESW3",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,4,Rotary_Encoder_Switch,
11,CONTROL-2,SFV20R-4STE1LF_thinpads,1,Conn_01x22,
12,EXT-1,JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal,1,Conn_01x06_Male,
