"Id";"Identificador";"Paquete";"Cantidad";"Identificación";"Suministrador y ref";
1;"AudioINR-1,AudioINL-1,AudioOUTR-1,AudioOUTL-1,AudioHP-1";"Jack_6.35mm_Neutrik_NRJ6HM-1_Horizontal";5;"AudioJack3_Switch";;;
2;"PWR-1";"LRJ_Series_Power_Connector";1;"Barrel_Jack_Switch_Pin3Ring";;;
3;"USB-B1";"USB_B_OST_USB-B1HSxx_Horizontal";1;"USB_B";;;
4;"RBPi4";"RBPi4-socket-c";1;"PinSocket_2x20_P2.54mm_Vertical";;;
5;"USB-C1,CONTROL-1";"SFV20R-4STE1LF_thinpads";2;"Conn_01x22";;;
6;"DISPLAY-1";"SFV24R-4STE1HLF_smallpads";1;"Conn_display";;;
7;"C42";"CP_Radial_D6.3mm_P2.50mm_Higher";1;"560uf10v";;;
8;"L1";"PA4343.103NLT";1;"10uh";;;
9;"SDCARD-2";"TFP09212B";1;"SD_ebay-uSD-push_push_SMD";;;
10;"SDCARD-RBPi1";"SFW10R-4STE1LF";1;"Conn_01x12";;;
11;"HDMI-1";"SFV20R-4STE1LF_thinpads";1;"con_hdmi";;;
12;"R20,R1,R2,R23,R24,R29,R38,R48,R7,R26";"R_0402_1005Metric";10;"10k";;;
13;"C44,C43,C45";"C_1210_3225Metric";3;"10uf 75v";;;
14;"OC1";"DIP-6_W8.89mm_SMDSocket_LongPads";1;"H11L1";;;
15;"MIC_BIAS1";"CON1";1;"Conn_01x01";;;
16;"C55,C33,C26,C25,C24,C22,C14,C34,C35,C48,C50,C60";"C_0603_1608Metric";12;"1uf16v";;;
17;"U6";"PCM5242RHBR";1;"PCM5242RHBR";;;
18;"R39,R6,R40,R41,R42";"R_0805_2012Metric";5;"220";;;
19;"D3,D6,D4";"CUS10S30";3;"CUS10S30";;;
20;"C8,C1,C2,C3,C4,C5,C6,C7,C9,C13,C17,C51,C52,C54,C57,C59";"C_0805_2012Metric";16;"10uf16v";;;
21;"G***,G***";"Zynthian Logo Mask";2;"LOGO";;;
22;"C31,C23,C18,C12,C15,C19,C21,C27,C28,C30,C56,C61";"C_0402_1005Metric";12;"100nf25v";;;
23;"R27,R25,R3,R4,R9,R12,R14,R19,R21,R22";"R_0603_1608Metric";10;"100R";;;
24;"C10,C11,C16,C20";"C_0402_1005Metric";4;"2,2nf50v";;;
25;"C46,C47,C49";"C_0402_1005Metric";3;"47nf16v";;;
26;"D1,D2";"led_0806";2;"LED";;;
27;"DC_DC1";"sic479_smallpads";1;"SIC478";;;
28;"Q2";"Vishay_PowerPAK_SC70-6L_Single";1;"Q_PMOS_GSD";;;
29;"R5,R15,R16,R17,R18,R36";"R_0402_1005Metric";6;"470R";;;
30;"R8,R10,R11,R13,R31,R47";"R_0402_1005Metric";6;"100K";;;
31;"R35,R44";"R_0805_2012Metric";2;"20M";;;
32;"R43";"R_0402_1005Metric";1;"1M";;;
33;"R45";"R_0402_1005Metric";1;"3R3";;;
34;"R46";"R_0402_1005Metric";1;"500k";;;
35;"R49";"R_0402_1005Metric";1;"56k";;;
36;"U1";"PCM1863DBT";1;"PCM1863DBT";;;
37;"U3,U4,U5,U8";"SOT-23-5";4;"ncp163";;;
38;"U7";"SSOP-8_2.95x2.8mm_P0.65mm";1;"74LVC3G17";;;
39;"X1";"Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm";1;"22.5792Mhz";;;
40;"X2";"Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm";1;"24.576Mhz";;;
41;"C40";"CP_Radial_D10.0mm_P5.00mm";1;"120uf63v";;;
42;"DIN5-MIDI-IN1,DIN5-MIDI-THRU1,DIN5-MIDI-OUT1";"MIDI_DIN5";3;"DIN-5_180degree";;;
43;"U10";"IC_RV-3028-C7";1;"RV-3028-C7";;;
44;"U9";"SOP-16_7.5x10.4mm_P1.27mm";1;"DS3231M";;;
45;"BT1";"AdamTech_BH-67B-5";1;"Battery_Cell";;;
46;"C41,C39,C38,C53";"C_0603_1608Metric";4;"1uf 16v";;;
47;"C36,C29,C37,C32";"C_0603_1608Metric";4;"470nF 16v";;;
48;"U2";"TPA6130A2RTJR";1;"TPA6130";;;
49;"JP2";"SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm";1;"Jumper_NC_Dual";;;
