"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"REF**";"OSHW-Symbol_6.7x6mm_SilkScreen";1;"OSHW-Symbol_6.7x6mm_SilkScreen";;;
2;"G***";"Zynthian Logo Mask";1;"LOGO";;;
3;"R23,R24,R1,R2,R20";"R_0402_1005Metric";5;"10k";;;
4;"X2";"Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm";1;"24.576Mhz";;;
5;"R21,R25,R14,R19,R22,R27,R3,R4,R12,R9";"R_0603_1608Metric";10;"100R";;;
6;"C9,C7,C1,C2,C3,C4,C5,C6,C8,C13,C17";"C_0805_2012Metric";11;"10uf16v";;;
7;"C18";"C_0402_1005Metric";1;"100nF25V";;;
8;"U6";"PCM5242RHBR";1;"PCM5242RHBR";;;
9;"J2";"PinHeader_2x10_P2.54mm_Vertical";1;"Conn_02x10_Odd_Even";;;
10;"J3";"conn_audio5";1;"AudioJack2_Ground_Switch";;;
11;"U4,U3,U5";"SOT-23-5";3;"ncp163";;;
12;"C10,C11,C16,C20";"C_0402_1005Metric";4;"2,2nf50v";;;
13;"C12,C21,C28,C30,C31";"C_0402_1005Metric";5;"100nf25v";;;
14;"C14,C25,C33,C34,C35";"C_0603_1608Metric";5;"1uf16v";;;
15;"C15";"C_0402_1005Metric";1;"100nf25V";;;
16;"C19,C23";"C_0402_1005Metric";2;"100nf16v";;;
17;"C22";"C_0603_1608Metric";1;"1uf16V";;;
18;"C24,C26";"C_0603_1608Metric";2;"1uf 16v";;;
19;"D1,D2";"led_0806";2;"LED";;;
20;"J1";"PinHeader_2x20_P2.54mm_Vertical";1;"Conn_2x20";;;
21;"J4,J5";"conn_audio3";2;"AudioJack2_Ground";;;
22;"J9";"PinHeader_1x02_P2.54mm_Horizontal";1;"Conn_01x02_Male";;;
23;"R5,R6,R7,R28";"R_0402_1005Metric";4;"3K8";;;
24;"R8,R10,R11,R13";"R_0402_1005Metric";4;"100K";;;
25;"R15,R16,R17,R18";"R_0402_1005Metric";4;"470R";;;
26;"U1";"PCM1863DBT";1;"PCM1863DBT";;;
27;"U2";"SOT-23-5";1;"AT24CS01-STUM";;;
28;"X1";"Oscillator_SMD_Abracon_ASE-4Pin_3.2x2.5mm";1;"22.5792Mhz";;;
29;"J6";"PinSocket_2x20_P2.54mm_Vertical";1;"Conn_2x20";;;
