Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",80.010000,-26.670000,90.000000,top
"C4","100n","C_0805_2012Metric",58.420000,-10.160000,180.000000,top
"D1","1N4148","D_SOD-323F",83.185000,-26.670000,90.000000,top
"D2","1N5819","D_SOD-123",52.705000,-10.160000,180.000000,top
"MIDI-1","MIDI-IN","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",83.185000,-3.175000,0.000000,top
"MIDI-2","MIDI-THRU","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",95.250000,-3.175000,0.000000,top
"MIDI-3","MIDI-OUT","JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical",107.315000,-3.175000,0.000000,top
"OC1","H11L1","DIP-6_W7.62mm_SMDSocket_SmallPads",83.185000,-17.780000,270.000000,top
"R1","100","R_0805_2012Metric",86.360000,-26.670000,90.000000,top
"R2","470","R_0805_2012Metric",86.360000,-9.525000,90.000000,top
"R3","1K","R_0805_2012Metric",80.010000,-9.525000,90.000000,top
"R4","330","R_0805_2012Metric",95.631000,-9.525000,270.000000,top
"R5","10","R_0805_2012Metric",92.202000,-9.588500,90.000000,top
"R6","33","R_0805_2012Metric",99.060000,-9.588500,270.000000,top
"R7","220","R_0805_2012Metric",107.823000,-9.525000,270.000000,top
"R8","220","R_0805_2012Metric",104.457500,-9.525000,90.000000,top
"R9","220","R_0805_2012Metric",111.252000,-9.461500,270.000000,top
"R10","10K","R_0805_2012Metric",52.070000,-15.240000,180.000000,top
"U1","74LS14","SOIC-14_3.9x8.7mm_P1.27mm",101.917500,-22.161500,90.000000,top
